Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,17:48:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:49:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:49:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:49:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:49:57,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:50:05,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:50:06,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:50:07,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:50:08,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:41,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:53,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:57,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:58,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:57:59,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:00,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:01,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:02,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:03,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:04,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:05,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:06,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:07,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:08,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:09,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:10,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:11,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:12,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:13,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:14,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:58:15,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:13,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:14,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:15,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:16,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:17,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:18,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:19,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:20,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:21,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:22,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:27,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:29,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:30,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:31,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:32,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:33,0.00,0.00,0.00,0.00,0.00
